index,act_actual_x_L,act_actual_y_L,act_actual_z_L,act_actual_x_R,act_actual_y_R,act_actual_z_R,act_actual_i_L,act_actual_j_L,act_actual_k_L,act_actual_i_R,act_actual_j_R,act_actual_k_R,act_d_x,act_d_y,act_d_z,act_d_norm,act_c_x,act_c_y,act_c_z,act_c_norm,act_dot_c_d,act_dot_n,act_angle_n_deg,act_A_L,act_B_L,act_C_L,act_A_R,act_B_R,act_C_R,act_A_c,act_B_c,act_C_c,nom_nominal_x_L,nom_nominal_y_L,nom_nominal_z_L,nom_nominal_x_R,nom_nominal_y_R,nom_nominal_z_R,nom_nominal_i_L,nom_nominal_j_L,nom_nominal_k_L,nom_nominal_i_R,nom_nominal_j_R,nom_nominal_k_R,nom_d_x,nom_d_y,nom_d_z,nom_d_norm,nom_c_x,nom_c_y,nom_c_z,nom_c_norm,nom_dot_c_d,nom_dot_n,nom_angle_n_deg,nom_A_L,nom_B_L,nom_C_L,nom_A_R,nom_B_R,nom_C_R,nom_A_c,nom_B_c,nom_C_c,delta_A_L,delta_B_L,delta_C_L,delta_A_R,delta_B_R,delta_C_R,delta_A_c,delta_B_c,delta_C_c
10,17.0,103.8374,0.40505,27.0,103.8374,0.06246,0.0,-0.00857,0.99996,0.0,0.00013,1.0,10.0,0.0,-0.34259,10.005866674511509,0.008700023234332886,0.0,-0.0,0.008700023234332886,0.08700023234332886,0.9999621540817042,0.4984809014985621,0.4910324502033124,-0.0,0.0,-0.007448451294741091,-0.0,-0.0,90.0,-0.0,90.0,17.0,103.8374,0.0,27.0,103.8374,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.4910324502033124,0.0,0.0,-0.007448451294741091,0.0,-0.0,,,
11,17.0,101.82114,0.38671,27.0,101.82114,0.06269,0.0,-0.00914,0.99996,0.0,-0.00026,1.0,10.0,0.0,-0.32402,10.005248070907587,0.008879994376951538,0.0,0.0,0.008879994376951538,0.08879994376951539,0.9999605720726518,0.5087928868008375,0.5236897891375196,-0.0,0.0,0.014896902337724543,-0.0,0.0,90.0,-0.0,90.0,17.0,101.82114,0.0,27.0,101.82114,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5236897891375196,0.0,0.0,0.014896902337724543,0.0,0.0,,,
12,17.0,99.80488,0.36935,27.0,99.80488,0.06173,0.0,-0.00869,0.99996,0.0,-7e-05,1.0,10.0,0.0,-0.30762,10.004730384393174,0.008620022097665166,0.0,0.0,0.008620022097665166,0.08620022097665166,0.9999628469193422,0.4938970021189317,0.4979077066786213,-0.0,0.0,0.0040107045593649445,-0.0,0.0,90.0,-0.0,90.0,17.0,99.80488,0.0,27.0,99.80488,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.4979077066786213,0.0,0.0,0.0040107045593649445,0.0,0.0,,,
13,17.0,97.78862,0.35095,27.0,97.78862,0.06218,0.0,-0.00909,0.99996,0.0,-0.00018,1.0,10.0,0.0,-0.28876999999999997,10.004168536810043,0.008909995340358216,0.0,0.0,0.008909995340358216,0.08909995340358216,0.9999603052036791,0.5105118833894149,0.5208251235910131,-0.0,0.0,0.010313240200971827,-0.0,0.0,90.0,-0.0,90.0,17.0,97.78862,0.0,27.0,97.78862,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5208251235910131,0.0,0.0,0.010313240200971827,0.0,0.0,,,
14,17.0,95.77236,0.33311,27.0,95.77236,0.06118,0.0,-0.00883,0.99996,0.0,-0.0001,1.0,10.0,0.0,-0.27193,10.003696612997617,0.008730012815134977,0.0,0.0,0.008730012815134977,0.08730012815134977,0.9999618927120411,0.5001992431642646,0.5059288210962403,-0.0,0.0,0.005729577932209639,-0.0,0.0,90.0,-0.0,90.0,17.0,95.77236,0.0,27.0,95.77236,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5059288210962403,0.0,0.0,0.005729577932209639,0.0,0.0,,,
15,17.0,93.7561,0.31517,27.0,93.7561,0.06132,0.0,-0.00885,0.99996,0.0,-0.00038,1.0,10.0,0.0,-0.25385,10.003221472230834,0.008470021685922617,0.0,0.0,0.008470021685922617,0.08470021685922617,0.9999641287229458,0.4853022978053743,0.5070746929729116,-0.0,0.0,0.02177239516699337,-0.0,0.0,90.0,-0.0,90.0,17.0,93.7561,0.0,27.0,93.7561,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5070746929729116,0.0,0.0,0.02177239516699337,0.0,0.0,,,
16,17.0,91.73984,0.29749,27.0,91.73984,0.06128,0.0,-0.00875,0.99996,0.0,0.00036,1.0,10.0,0.0,-0.23620999999999998,10.00278936917598,0.009110000660212069,0.0,-0.0,0.009110000660212069,0.0911000066021207,0.9999585030829883,0.5219718092859269,0.501345329551491,-0.0,0.0,-0.02062647973364574,-0.0,-0.0,90.0,-0.0,90.0,17.0,91.73984,0.0,27.0,91.73984,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.501345329551491,0.0,0.0,-0.02062647973364574,0.0,-0.0,,,
17,17.0,89.72358,0.27978,27.0,89.72358,0.06123,0.0,-0.00878,0.99996,0.0,-0.00014,1.0,10.0,0.0,-0.21854999999999997,10.002387920016899,0.008640018086563409,0.0,0.0,0.008640018086563409,0.08640018086563409,0.9999626743471297,0.4950427305567302,0.5030641396359045,-0.0,0.0,0.008021409079424984,-0.0,0.0,90.0,-0.0,90.0,17.0,89.72358,0.0,27.0,89.72358,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5030641396359045,0.0,0.0,0.008021409079424984,0.0,0.0,,,
18,17.0,87.70732,0.26212,27.0,87.70732,0.06106,0.0,-0.00885,0.99996,0.0,-0.00011,1.0,10.0,0.0,-0.20106000000000002,10.002021051947452,0.008740011670818823,0.0,0.0,0.008740011670818823,0.08740011670818823,0.9999618053685821,0.5007721572512022,0.5070746929729116,-0.0,0.0,0.006302535721018829,-0.0,0.0,90.0,-0.0,90.0,17.0,87.70732,0.0,27.0,87.70732,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5070746929729116,0.0,0.0,0.006302535721018829,0.0,0.0,,,
19,17.0,85.69106,0.24403,27.0,85.69106,0.06029,0.0,-0.00892,0.99996,0.0,-0.00058,1.0,10.0,0.0,-0.18374,10.001687876933573,0.008340023598653745,0.0,0.0,0.008340023598653745,0.08340023598653745,0.9999652213984114,0.4778536929496859,0.511085241340838,-0.0,0.0,0.03323154839122379,-0.0,0.0,90.0,-0.0,90.0,17.0,85.69106,0.0,27.0,85.69106,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.511085241340838,0.0,0.0,0.03323154839122379,0.0,0.0,,,
