Actual X,Actual Y,Actual Z,Actual surface normal X,Actual surface normal Y,mATERIALCONDITION mat
8.90750,43.06114,-5.00000,0.20261,0.97926,-0.02720
9.71451,42.88695,-5.00000,0.21997,0.97551,-0.02666
10.51443,42.69838,-5.00000,0.23882,0.97106,-0.02627
11.31428,42.49368,-5.00000,0.25698,0.96642,-0.02608
12.10781,42.27471,-5.00000,0.27492,0.96147,-0.02578
12.88353,42.04549,-5.00000,0.29185,0.95646,-0.02503
13.67890,41.79450,-5.00000,0.31020,0.95067,-0.02395
14.45290,41.53384,-5.00000,0.32801,0.94467,-0.02323
15.21856,41.26003,-5.00000,0.34542,0.93845,-0.02257
15.98846,40.96839,-5.00000,0.36301,0.93178,-0.02199
16.75884,40.65993,-5.00000,0.38028,0.92487,-0.02141
17.50142,40.34676,-5.00000,0.39694,0.91784,-0.02061
18.24457,40.01708,-5.00000,0.41414,0.91021,-0.01987
19.00121,39.66395,-5.00000,0.43157,0.90208,-0.01946
19.73855,39.30283,-5.00000,0.44800,0.89404,-0.01903
20.46443,38.93077,-5.00000,0.46434,0.88566,-0.01830
21.18911,38.54202,-5.00000,0.48109,0.87667,-0.01763
21.90100,38.14268,-5.00000,0.49727,0.86759,-0.01708
22.60524,37.73048,-5.00000,0.51298,0.85840,-0.01627
23.30801,37.30150,-5.00000,0.52910,0.84856,-0.01529
23.97990,36.87388,-5.00000,0.54459,0.83870,-0.01457
24.64755,36.43187,-5.00000,0.55929,0.82897,-0.01372
25.31601,35.97208,-5.00000,0.57427,0.81867,-0.01239
25.96633,35.50670,-5.00000,0.58964,0.80767,-0.01136
26.61801,35.02147,-5.00000,0.60461,0.79652,-0.01080
27.25419,34.52951,-5.00000,0.61884,0.78552,-0.01018
27.89751,34.01286,-5.00000,0.63348,0.77376,-0.00946
28.52968,33.48527,-5.00000,0.64797,0.76167,-0.00887
29.15867,32.93978,-5.00000,0.66226,0.74927,-0.00840
29.76760,32.39163,-5.00000,0.67575,0.73713,-0.00771
30.36284,31.83562,-5.00000,0.68956,0.72423,-0.00689
30.95163,31.26417,-5.00000,0.70311,0.71109,-0.00646
31.52520,30.68695,-5.00000,0.71561,0.69850,-0.00559
32.08818,30.09934,-5.00000,0.72854,0.68501,-0.00443
32.64836,29.49211,-5.00000,0.74148,0.67097,-0.00343
33.19783,28.87319,-5.00000,0.75380,0.65710,-0.00267
33.73309,28.24808,-5.00000,0.76586,0.64300,-0.00121
34.25630,27.61224,-5.00000,0.77829,0.62790,-0.00052
34.76108,26.97471,-5.00000,0.78947,0.61379,-0.00006
35.25563,26.32685,-5.00000,0.80036,0.59951,0.00101
35.73831,25.66927,-5.00000,0.81197,0.58370,0.00182
36.20396,25.00877,-5.00000,0.82239,0.56892,0.00205
36.66672,24.32701,-5.00000,0.83241,0.55416,0.00292
37.11901,23.63360,-5.00000,0.84279,0.53824,0.00411
37.55064,22.94250,-5.00000,0.85362,0.52090,0.00448
