Actual X,Actual Y,Actual Z,Actual surface normal X,Actual surface normal Y,Materialcondition MAT
16.82936,18.50589,-5.00000,-0.67316,-0.73950,-0.01416
17.27121,18.09402,-5.00000,-0.69041,-0.72342,-0.01410
17.71947,17.65533,-5.00000,-0.70852,-0.70569,-0.01417
18.14643,17.21597,-5.00000,-0.72559,-0.68813,-0.01399
18.56587,16.76281,-5.00000,-0.74210,-0.67028,-0.01391
18.97569,16.29752,-5.00000,-0.75868,-0.65147,-0.01382
19.36603,15.83144,-5.00000,-0.77447,-0.63261,-0.01350
19.74082,15.36115,-5.00000,-0.78947,-0.61379,-0.01312
20.11451,14.86809,-5.00000,-0.80435,-0.59415,-0.01280
20.47885,14.36193,-5.00000,-0.81867,-0.57426,-0.01272
20.72673,14.00196,-5.00000,-0.82859,-0.55986,-0.01286
20.96811,13.63762,-5.00000,-0.83868,-0.54462,-0.01285
21.30047,13.11114,-5.00000,-0.85207,-0.52343,-0.01232
21.61751,12.58186,-5.00000,-0.86366,-0.50408,-0.01261
21.92486,12.03895,-5.00000,-0.87701,-0.48046,-0.01304
22.21631,11.48943,-5.00000,-0.88909,-0.45774,-0.01180
22.49265,10.93891,-5.00000,-0.89875,-0.43846,-0.01193
22.75568,10.38132,-5.00000,-0.91005,-0.41449,-0.01213
23.00313,9.81949,-5.00000,-0.92001,-0.39188,-0.01147
23.23638,9.25312,-5.00000,-0.92914,-0.36974,-0.01099
23.45621,8.68117,-5.00000,-0.93766,-0.34755,-0.01098
23.66345,8.09888,-5.00000,-0.94645,-0.32285,-0.01076
23.85444,7.51555,-5.00000,-0.95399,-0.29983,-0.01009
24.02811,6.94042,-5.00000,-0.96062,-0.27786,-0.01020
24.19123,6.34879,-5.00000,-0.96727,-0.25375,-0.01041
24.33752,5.76081,-5.00000,-0.97339,-0.22914,-0.01014
24.47362,5.14879,-5.00000,-0.97874,-0.20510,-0.00961
24.59476,4.53476,-5.00000,-0.98332,-0.18190,-0.00966
24.69919,3.92720,-5.00000,-0.98766,-0.15663,-0.00983
24.78872,3.31120,-5.00000,-0.99134,-0.13134,-0.00924
24.86259,2.69661,-5.00000,-0.99422,-0.10737,-0.00865
24.92180,2.07841,-5.00000,-0.99653,-0.08322,-0.00843
24.96513,1.46976,-5.00000,-0.99828,-0.05862,-0.00833
24.99325,0.86069,-5.00000,-0.99943,-0.03383,-0.00789
25.00649,0.25362,-5.00000,-0.99995,-0.00977,-0.00752
25.00476,-0.37250,-5.00000,-0.99988,0.01523,-0.00728
24.98794,-0.98858,-5.00000,-0.99923,0.03932,-0.00734
24.95627,-1.60336,-5.00000,-0.99797,0.06376,-0.00773
24.90880,-2.22213,-5.00000,-0.99601,0.08923,-0.00789
24.84584,-2.83781,-5.00000,-0.99347,0.11408,-0.00767
24.76841,-3.44701,-5.00000,-0.99043,0.13798,-0.00748
24.67418,-4.06790,-5.00000,-0.98675,0.16224,-0.00763
24.56500,-4.68312,-5.00000,-0.98228,0.18739,-0.00774
24.44019,-5.29434,-5.00000,-0.97717,0.21245,-0.00727
24.30402,-5.88700,-5.00000,-0.97197,0.23510,-0.00692
24.15107,-6.48812,-5.00000,-0.96604,0.25840,-0.00731
23.98525,-7.07769,-5.00000,-0.95902,0.28336,-0.00750
23.80615,-7.65688,-5.00000,-0.95169,0.30706,-0.00693
23.61072,-8.23940,-5.00000,-0.94438,0.32885,-0.00685
23.40116,-8.81862,-5.00000,-0.93603,0.35193,-0.00754
23.18209,-9.37922,-5.00000,-0.92667,0.37587,-0.00763
22.94484,-9.94424,-5.00000,-0.91741,0.39795,-0.00726
22.69349,-10.50618,-5.00000,-0.90800,0.41896,-0.00779
22.43194,-11.05488,-5.00000,-0.89702,0.44200,-0.00841
22.15295,-11.60292,-5.00000,-0.88540,0.46484,-0.00798
21.86323,-12.13961,-5.00000,-0.87455,0.48494,-0.00772
21.55766,-12.67541,-5.00000,-0.86244,0.50617,-0.00817
21.24092,-13.19938,-5.00000,-0.84907,0.52827,-0.00805
20.91247,-13.71331,-5.00000,-0.83624,0.54836,-0.00762
20.57295,-14.21822,-5.00000,-0.82315,0.56783,-0.00785
20.21129,-14.72844,-5.00000,-0.80830,0.58877,-0.00819
19.85006,-15.21176,-5.00000,-0.79367,0.60835,-0.00824
19.46954,-15.69589,-5.00000,-0.77867,0.62743,-0.00840
19.07546,-16.17303,-5.00000,-0.76326,0.64609,-0.00887
18.67574,-16.63370,-5.00000,-0.74711,0.66470,-0.00948
18.24929,-17.10051,-5.00000,-0.72951,0.68397,-0.00960
17.82507,-17.54242,-5.00000,-0.71345,0.70070,-0.00976
17.39010,-17.97486,-5.00000,-0.69609,0.71795,-0.01057
16.93428,-18.40483,-5.00000,-0.67638,0.73655,-0.01043
16.47016,-18.82091,-5.00000,-0.65901,0.75213,-0.01000
16.00077,-19.22257,-5.00000,-0.64078,0.76772,-0.01063
15.51746,-19.61521,-5.00000,-0.62029,0.78437,-0.01081
15.03296,-19.98870,-5.00000,-0.60087,0.79935,-0.01050
14.53297,-20.35535,-5.00000,-0.58194,0.81324,-0.01068
14.02794,-20.70783,-5.00000,-0.56213,0.82705,-0.01177
13.51688,-21.04521,-5.00000,-0.53966,0.84188,-0.01209
13.00129,-21.36701,-5.00000,-0.51983,0.85427,-0.01177
12.46957,-21.68221,-5.00000,-0.49960,0.86626,-0.01241
11.93051,-21.98410,-5.00000,-0.47747,0.87865,-0.01310
11.38435,-22.27186,-5.00000,-0.45484,0.89057,-0.01315
10.82247,-22.55029,-5.00000,-0.43344,0.90118,-0.01316
10.26321,-22.81099,-5.00000,-0.41105,0.91161,-0.01374
9.69074,-23.06007,-5.00000,-0.38700,0.92208,-0.01365
9.10919,-23.29556,-5.00000,-0.36387,0.93145,-0.01316
8.54187,-23.50990,-5.00000,-0.34300,0.93933,-0.01339
7.95450,-23.71598,-5.00000,-0.31826,0.94800,-0.01417
7.38071,-23.90050,-5.00000,-0.29483,0.95555,-0.01392
6.79147,-24.07461,-5.00000,-0.27159,0.96241,-0.01407
6.19084,-24.23647,-5.00000,-0.24827,0.96869,-0.01466
5.59414,-24.38139,-5.00000,-0.22386,0.97462,-0.01509
5.00155,-24.50998,-5.00000,-0.20027,0.97974,-0.01538
4.39614,-24.62593,-5.00000,-0.17587,0.98441,-0.01561
3.78524,-24.72748,-5.00000,-0.15216,0.98836,-0.01591
3.17435,-24.81387,-5.00000,-0.12748,0.99184,-0.01642
2.55810,-24.88511,-5.00000,-0.10238,0.99475,-0.01648
1.79402,-24.95204,-5.00000,-0.07219,0.99739,-0.01650
