Fall,X,Y,MAT,X0,Y0,X_out_5mm,Y_out_5mm,Hinweis
MAT_MAX_ABS,-21.82163,13.07422,-0.43953000000000003,0.0,0.0,-17.53253964307321,10.504452712847787,"Outward = weg von (X0,Y0) entlang der Linie durch (X,Y)"
MAT_MIN_ABS,-16.29741,18.958470000000002,-0.00035,0.0,0.0,-13.03800402788402,15.166864441805071,"Outward = weg von (X0,Y0) entlang der Linie durch (X,Y)"
